city,year,lat,lon,landslide_label,landslide_prob,landslide_risk_score,risk_category
Darjeeling,2015,27.04,88.27,1,0.8677,86.77,VERY HIGH
Darjeeling,2016,27.04,88.27,1,0.9854,98.54,VERY HIGH
Darjeeling,2017,27.04,88.27,1,0.9854,98.54,VERY HIGH
Darjeeling,2018,27.04,88.27,0,0.0365,3.65,LOW
Darjeeling,2019,27.04,88.27,1,0.9854,98.54,VERY HIGH
Darjeeling,2020,27.04,88.27,1,0.9854,98.54,VERY HIGH
Darjeeling,2021,27.04,88.27,1,0.9854,98.54,VERY HIGH
Darjeeling,2022,27.04,88.27,0,0.0318,3.18,LOW
Darjeeling,2023,27.04,88.27,1,0.9854,98.54,VERY HIGH
Dehradun,2015,30.32,78.03,0,0.0083,0.83,LOW
Dehradun,2016,30.32,78.03,0,0.067,6.7,LOW
Dehradun,2017,30.32,78.03,0,0.0166,1.66,LOW
Dehradun,2018,30.32,78.03,1,0.9134,91.34,VERY HIGH
Dehradun,2019,30.32,78.03,0,0.0083,0.83,LOW
Dehradun,2020,30.32,78.03,0,0.0083,0.83,LOW
Dehradun,2021,30.32,78.03,0,0.0083,0.83,LOW
Dehradun,2022,30.32,78.03,0,0.0083,0.83,LOW
Dehradun,2023,30.32,78.03,0,0.0166,1.66,LOW
Gangtok,2015,27.34,88.61,1,0.8662,86.62,VERY HIGH
Gangtok,2016,27.34,88.61,1,0.9881,98.81,VERY HIGH
Gangtok,2017,27.34,88.61,1,0.8662,86.62,VERY HIGH
Gangtok,2018,27.34,88.61,1,0.9881,98.81,VERY HIGH
Gangtok,2019,27.34,88.61,1,0.9881,98.81,VERY HIGH
Gangtok,2020,27.34,88.61,1,0.9881,98.81,VERY HIGH
Gangtok,2021,27.34,88.61,1,0.9881,98.81,VERY HIGH
Gangtok,2022,27.34,88.61,1,0.9252,92.52,VERY HIGH
Gangtok,2023,27.34,88.61,1,0.979,97.9,VERY HIGH
Kozhikode,2015,11.26,75.78,0,0.0083,0.83,LOW
Kozhikode,2016,11.26,75.78,0,0.0083,0.83,LOW
Kozhikode,2017,11.26,75.78,0,0.0083,0.83,LOW
Kozhikode,2018,11.26,75.78,0,0.0125,1.25,LOW
Kozhikode,2019,11.26,75.78,0,0.3848,38.48,MEDIUM
Kozhikode,2020,11.26,75.78,0,0.347,34.7,MEDIUM
Kozhikode,2021,11.26,75.78,0,0.0206,2.06,LOW
Kozhikode,2022,11.26,75.78,0,0.7163,71.63,HIGH
Kozhikode,2023,11.26,75.78,0,0.8197,81.97,VERY HIGH
Manali,2015,32.24,77.19,0,0.0145,1.45,LOW
Manali,2016,32.24,77.19,0,0.0145,1.45,LOW
Manali,2017,32.24,77.19,0,0.0145,1.45,LOW
Manali,2018,32.24,77.19,0,0.0145,1.45,LOW
Manali,2019,32.24,77.19,0,0.0145,1.45,LOW
Manali,2020,32.24,77.19,0,0.0145,1.45,LOW
Manali,2021,32.24,77.19,0,0.0145,1.45,LOW
Manali,2022,32.24,77.19,1,0.5621,56.21,HIGH
Manali,2023,32.24,77.19,0,0.0318,3.18,LOW
Munnar,2015,10.09,77.06,0,0.0267,2.67,LOW
Munnar,2016,10.09,77.06,0,0.0267,2.67,LOW
Munnar,2017,10.09,77.06,1,0.9388,93.88,VERY HIGH
Munnar,2018,10.09,77.06,1,0.9849,98.49,VERY HIGH
Munnar,2019,10.09,77.06,1,0.9849,98.49,VERY HIGH
Munnar,2020,10.09,77.06,1,0.9849,98.49,VERY HIGH
Munnar,2021,10.09,77.06,1,0.9849,98.49,VERY HIGH
Munnar,2022,10.09,77.06,1,0.9849,98.49,VERY HIGH
Munnar,2023,10.09,77.06,1,0.9849,98.49,VERY HIGH
Mussoorie,2015,30.46,78.07,0,0.0145,1.45,LOW
Mussoorie,2016,30.46,78.07,0,0.1213,12.13,LOW
Mussoorie,2017,30.46,78.07,0,0.0318,3.18,LOW
Mussoorie,2018,30.46,78.07,1,0.9845,98.45,VERY HIGH
Mussoorie,2019,30.46,78.07,0,0.0318,3.18,LOW
Mussoorie,2020,30.46,78.07,0,0.0145,1.45,LOW
Mussoorie,2021,30.46,78.07,0,0.0145,1.45,LOW
Mussoorie,2022,30.46,78.07,0,0.0145,1.45,LOW
Mussoorie,2023,30.46,78.07,0,0.0145,1.45,LOW
Ooty,2015,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2016,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2017,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2018,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2019,11.41,76.7,0,0.0318,3.18,LOW
Ooty,2020,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2021,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2022,11.41,76.7,0,0.0145,1.45,LOW
Ooty,2023,11.41,76.7,0,0.0145,1.45,LOW
Shillong,2015,25.58,91.89,1,0.973,97.3,VERY HIGH
Shillong,2016,25.58,91.89,1,0.898,89.8,VERY HIGH
Shillong,2017,25.58,91.89,1,0.3832,38.32,MEDIUM
Shillong,2018,25.58,91.89,0,0.0175,1.75,LOW
Shillong,2019,25.58,91.89,0,0.0175,1.75,LOW
Shillong,2020,25.58,91.89,0,0.0175,1.75,LOW
Shillong,2021,25.58,91.89,0,0.0175,1.75,LOW
Shillong,2022,25.58,91.89,0,0.0175,1.75,LOW
Shillong,2023,25.58,91.89,0,0.0175,1.75,LOW
Shimla,2015,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2016,31.1,77.17,0,0.0318,3.18,LOW
Shimla,2017,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2018,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2019,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2020,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2021,31.1,77.17,0,0.0318,3.18,LOW
Shimla,2022,31.1,77.17,0,0.0145,1.45,LOW
Shimla,2023,31.1,77.17,0,0.0145,1.45,LOW
